Mileage,Model,Levy,Prod. year,Manufacturer,Engine volume,Airbags,Color,Category,Fuel type,Gear box type,Leather interior,Price
87768,Civic,891.0,2016,HONDA,2.0,4,Blue,Sedan,Petrol,Automatic,True,34889
264014,Q7,1104.0,2015,AUDI,3.0,0,Black,Jeep,Petrol,Automatic,True,862
132542,Megane 1.5CDI,845.5833333333334,2008,RENAULT,1.5,10,White,Sedan,Diesel,Manual,False,14583
1600,E 300,1017.0,2017,MERCEDES-BENZ,2.0,12,Black,Sedan,Petrol,Automatic,True,392
87000,Q5,639.0,2014,AUDI,2.0,12,White,Jeep,Petrol,Tiptronic,True,38500
260000,C 180,1281.3365810451728,2001,MERCEDES-BENZ,2.0,0,Blue,Coupe,Petrol,Manual,False,8781
87112,Juke,629.0,2015,NISSAN,1.6,0,Black,Jeep,Petrol,Automatic,True,1411
204318,535,919.0,2012,BMW,3.0,12,Black,Sedan,Petrol,Automatic,True,392
22000,Cruze LT,781.0,2018,CHEVROLET,1.4,6,Red,Sedan,Petrol,Automatic,False,23521
83000,Fusion,530.0,2013,FORD,1.6,8,Silver,Sedan,Petrol,Tiptronic,False,16935
170000,VOXY,850.5492087996912,2007,TOYOTA,2.4,6,Black,Minivan,Petrol,Automatic,True,10349
312118,Juke,530.0,2013,NISSAN,1.6,0,Black,Jeep,Petrol,Automatic,True,7213
130000,A 160,1281.3365810451728,2004,MERCEDES-BENZ,1.6,6,Black,Sedan,Petrol,Tiptronic,False,5331
200279,Tucson,640.0,2013,HYUNDAI,2.0,4,Grey,Jeep,Diesel,Automatic,True,20526
154672,H1,777.0,2014,HYUNDAI,2.5,4,Silver,Minivan,Diesel,Automatic,True,34657
110969,H1,1091.0,2016,HYUNDAI,2.5,4,Black,Minivan,Diesel,Automatic,True,36564
225510,Camry,779.0,2013,TOYOTA,2.5,12,White,Sedan,Hybrid,Automatic,True,314
210000,Vitz,850.5492087996912,2001,TOYOTA,1.5,3,Sky blue,Hatchback,Petrol,Manual,False,5488
148105,H1,934.0,2015,HYUNDAI,2.5,4,Silver,Universal,Diesel,Automatic,True,30063
255456,Captiva,769.0,2011,CHEVROLET,2.2,4,Silver,Jeep,Diesel,Automatic,True,15800
111643,H1,1249.0,2017,HYUNDAI,2.5,4,Grey,Universal,Diesel,Automatic,True,43952
288000,Prius,645.0,2011,TOYOTA,1.8,8,White,Hatchback,Hybrid,Automatic,False,14740
75000,Mustang,825.4240766073872,2016,FORD,2.3,6,Silver,Cabriolet,Petrol,Tiptronic,True,42337
94362,ML 350,1053.0,2014,MERCEDES-BENZ,3.5,12,White,Jeep,Petrol,Automatic,True,3763
175000,Prius,850.5492087996912,2012,TOYOTA,1.8,8,Silver,Sedan,Petrol,Automatic,False,18189
193614,Escape,1185.0,2009,FORD,2.5,0,White,Jeep,Hybrid,Automatic,True,220
264877,Highlander,1324.0,2010,TOYOTA,3.3,12,White,Jeep,Hybrid,Automatic,True,5645
27656,Yaris,830.0,2019,TOYOTA,1.5,12,White,Sedan,Petrol,Automatic,True,7527
16000,Civic,1187.0,2014,HONDA,1.4,10,White,Sedan,Hybrid,Automatic,False,21953
0,Cr-v,803.8573975044563,1998,HONDA,2.0,2,White,Jeep,Petrol,Automatic,False,8154
195053,Camry,781.0,2012,TOYOTA,2.5,0,Black,Sedan,Petrol,Automatic,False,21953
121362,Elantra,531.0,2012,HYUNDAI,1.6,4,Black,Sedan,Petrol,Automatic,True,19121
69191,Santa FE,639.0,2014,HYUNDAI,2.0,4,White,Jeep,Diesel,Automatic,True,36065
83000,FIT,1111.0,2012,HONDA,1.3,12,Green,Hatchback,Hybrid,Tiptronic,True,8781
40772,Cruze,760.0,2010,CHEVROLET,1.8,4,Black,Sedan,Petrol,Automatic,True,6247
172000,Orlando,642.0,2012,CHEVROLET,2.0,4,Grey,Jeep,Diesel,Automatic,True,16289
350000,520 Vanos,1082.2991631799164,1995,BMW,2.0,2,Blue,Sedan,Petrol,Manual,True,2822
148213,Forester,781.0,2012,SUBARU,2.5,0,Blue,Jeep,Petrol,Automatic,True,549
103246,Lacetti,1095.0,2008,DAEWOO,2.0,4,Black,Sedan,Petrol,Automatic,True,6981
105394,Elantra,891.0,2016,HYUNDAI,2.0,12,Black,Sedan,Petrol,Tiptronic,False,27284
160000,428 Sport Line,1082.2991631799164,2013,BMW,2.0,12,Black,Coupe,Petrol,Automatic,True,32929
333333,Patrol,830.02,1990,NISSAN,2.8,0,Black,Jeep,Diesel,Manual,False,18817
0,Civic,803.8573975044563,1997,HONDA,1.4,6,Blue,Hatchback,Petrol,Manual,True,4234
214000,E 320,1281.3365810451728,2004,MERCEDES-BENZ,3.2,8,Grey,Sedan,Petrol,Tiptronic,True,15053
123346,Genesis,966.0,2009,HYUNDAI,2.0,4,Black,Coupe,Petrol,Automatic,True,15458
80827,Cruze,473.0,2014,CHEVROLET,1.4,12,Green,Sedan,Petrol,Automatic,True,2901
64464,911,1138.0,2013,PORSCHE,3.8,12,Black,Coupe,Petrol,Automatic,True,706
91760,Fusion,382.0,2015,FORD,2.0,12,Black,Sedan,Hybrid,Automatic,True,314
300000,Sprinter,1281.3365810451728,2004,MERCEDES-BENZ,2.2,1,White,Microbus,Diesel,Manual,False,26657
318400,Prius,988.0,2007,TOYOTA,1.5,6,Silver,Hatchback,Petrol,Automatic,False,10663
91200,Focus SE,765.0,2015,FORD,2.0,10,Sky blue,Sedan,Petrol,Automatic,False,12858
137802,X5,917.0,2013,BMW,3.0,12,Black,Jeep,Diesel,Automatic,True,1019
151586,535,917.0,2013,BMW,3.0,12,White,Sedan,Hybrid,Automatic,True,549
107000,Picanto,798.4470588235295,2016,KIA,1.2,2,Silver,Hatchback,Petrol,Manual,False,12858
210408,328,1082.2991631799164,2008,BMW,3.0,12,White,Sedan,CNG,Tiptronic,True,15000
86000,H1,1091.0,2016,HYUNDAI,2.5,4,Grey,Universal,Diesel,Automatic,True,44752
122740,Elantra,687.0,2010,HYUNDAI,1.6,4,White,Sedan,Petrol,Automatic,True,17158
144000,Airtrek,1057.6153846153845,2005,MITSUBISHI,2.4,16,White,Jeep,LPG,Tiptronic,False,12231
100000,Lancer,1057.6153846153845,1997,MITSUBISHI,1.3,0,Red,Sedan,Petrol,Manual,False,1254
178000,FIT,803.8573975044563,2003,HONDA,1.5,4,Silver,Hatchback,Petrol,Variator,False,94
85704,Korando,640.0,2013,SSANGYONG,2.0,4,Silver,Jeep,Diesel,Automatic,True,25591
58962,Santa FE,836.0,2010,HYUNDAI,2.0,4,White,Jeep,Diesel,Automatic,True,14897
90000,Camry,779.0,2013,TOYOTA,2.5,12,White,Sedan,Hybrid,Tiptronic,True,23521
50000,Clio,845.5833333333334,1995,RENAULT,1.2,0,Green,Hatchback,Petrol,Manual,False,3450
0,616,777.0,2014,MAZDA,2.5,12,Red,Sedan,Petrol,Automatic,True,706
318358,Highlander,1537.0,2009,TOYOTA,3.3,12,Black,Sedan,Hybrid,Automatic,True,1019
71454,Fusion,765.0,2015,FORD,2.0,0,Black,Sedan,Petrol,Automatic,True,16935
0,Camry,781.0,2012,TOYOTA,2.5,6,Black,Sedan,Petrol,Tiptronic,True,19444
346470,Sonata,639.0,2014,HYUNDAI,2.0,4,Silver,Sedan,LPG,Automatic,True,11604
115312,Camry,394.0,2014,TOYOTA,2.5,12,Grey,Sedan,Hybrid,Automatic,True,706
111111,C 220,1281.3365810451728,1999,MERCEDES-BENZ,2.2,4,Silver,Sedan,Diesel,Manual,False,9408
74444,H1,1347.0,2008,HYUNDAI,2.5,4,Yellow,Minivan,Diesel,Automatic,True,13328
143000,Serena,830.02,2012,NISSAN,2.0,12,White,Minivan,Petrol,Tiptronic,False,17876
135000,RAV 4,850.5492087996912,2008,TOYOTA,2.4,8,Silver,Jeep,Petrol,Automatic,False,20071
124444,H1,862.0,2011,HYUNDAI,2.5,4,Yellow,Minivan,Diesel,Automatic,True,22894
146403,Civic,503.0,2012,HONDA,1.5,0,White,Sedan,Hybrid,Automatic,True,2901
142000,Pajero,1057.6153846153845,1997,MITSUBISHI,2.4,6,Blue,Jeep,Petrol,Automatic,False,15681
130000,Sonata,799.6990400903444,2013,HYUNDAI,2.4,6,Black,Sedan,Petrol,Tiptronic,True,18660
50930,E 300,1017.0,2017,MERCEDES-BENZ,2.0,12,Black,Sedan,Petrol,Automatic,True,22580
264872,Sonata,639.0,2014,HYUNDAI,2.0,4,Silver,Sedan,LPG,Automatic,True,11604
131893,Volt,259.0,2014,CHEVROLET,1.4,0,Brown,Hatchback,Hybrid,Automatic,True,314
138958,TERRAIN,751.0,2013,GMC,2.4,12,Black,Jeep,Petrol,Automatic,True,5488
35058,Camry,609.0,2018,TOYOTA,2.5,12,White,Sedan,Hybrid,Automatic,True,18817
33330,Hr-v EX,697.0,2015,HONDA,1.8,8,Grey,Jeep,Petrol,Automatic,False,21169
141000,500,541.1276595744681,2011,FIAT,1.2,4,Red,Coupe,Petrol,Automatic,False,9095
82392,Jetta,639.0,2014,VOLKSWAGEN,2.0,12,Silver,Sedan,Diesel,Automatic,True,1568
180000,Legacy,889.104938271605,2005,SUBARU,2.0,6,Blue,Goods wagon,Petrol,Tiptronic,False,3136
117920,Elantra sport limited,585.0,2013,HYUNDAI,1.8,12,Grey,Sedan,Petrol,Tiptronic,True,17876
279787,Sonata,891.0,2016,HYUNDAI,2.0,4,Silver,Sedan,LPG,Automatic,True,11290
227200,Sienna,1399.0,2010,TOYOTA,3.5,16,White,Minivan,Petrol,Tiptronic,True,36065
130478,Camry,394.0,2014,TOYOTA,2.5,12,White,Sedan,Hybrid,Automatic,True,862
166144,H1,781.0,2012,HYUNDAI,2.5,4,Silver,Universal,Diesel,Automatic,True,21395
258706,Sonata,891.0,2016,HYUNDAI,2.0,4,Silver,Sedan,LPG,Automatic,True,15681
188419,Volt,475.0,2012,CHEVROLET,1.4,0,Red,Jeep,Hybrid,Automatic,True,627
25807,Aqua,690.0,2016,TOYOTA,1.5,4,Black,Hatchback,Petrol,Automatic,True,40070
180000,A 170,1281.3365810451728,2008,MERCEDES-BENZ,1.7,8,Golden,Hatchback,Petrol,Automatic,False,11917
137267,REXTON,640.0,2013,SSANGYONG,2.0,4,Silver,Jeep,Diesel,Automatic,True,35927
160000,Prius,308.0,2014,TOYOTA,1.8,4,White,Sedan,Hybrid,Automatic,False,21012
84176,Carnival grand,1361.0,2009,KIA,2.9,6,White,Minivan,Diesel,Automatic,True,13172
107005,Genesis,707.0,2011,HYUNDAI,2.0,4,Grey,Coupe,Petrol,Automatic,True,15624
15000,Vectra,1156.6493506493507,1997,OPEL,1.6,2,Beige,Sedan,Petrol,Manual,False,4547
124154,QX60,1273.0,2015,INFINITI,3.5,12,Black,Jeep,Petrol,Automatic,True,5488
104997,Elantra,531.0,2012,HYUNDAI,1.6,4,White,Sedan,Petrol,Automatic,True,20005
27728,Passat,924.0,2017,VOLKSWAGEN,1.8,8,Silver,Sedan,Petrol,Tiptronic,True,36110
11566,1000,1077.0,2019,MAZDA,2.0,12,Black,Jeep,Petrol,Automatic,True,470
4000,50,932.0355029585799,2018,AUDI,0.5,0,Blue,Coupe,Petrol,Tiptronic,True,1300
113700,Santa FE,891.0,2016,HYUNDAI,2.0,4,Silver,Jeep,Diesel,Automatic,True,43880
69000,C 250,584.0,2014,MERCEDES-BENZ,1.8,8,Grey,Sedan,Petrol,Tiptronic,True,29479
152000,Camry,850.5492087996912,2011,TOYOTA,2.5,12,White,Sedan,Hybrid,Variator,True,17249
181926,Vitz funkargo,850.5492087996912,2003,TOYOTA,1.5,2,Silver,Universal,Petrol,Automatic,False,9408
50255,Santa FE,891.0,2016,HYUNDAI,2.0,4,Red,Jeep,Diesel,Automatic,True,44213
164488,A6,915.0,2014,AUDI,3.0,12,Silver,Sedan,Petrol,Automatic,True,627
125000,Transit,831.0,2011,FORD,2.4,2,White,Goods wagon,Diesel,Manual,False,21950
164574,500,475.0,2012,FIAT,1.4,12,Red,Hatchback,Petrol,Automatic,True,706
156992,Cruze,473.0,2014,CHEVROLET,1.4,12,Black,Sedan,Petrol,Automatic,True,3136
0,Vectra,1156.6493506493507,1995,OPEL,2.0,2,White,Sedan,CNG,Manual,False,3450
11000,Pajero,1057.6153846153845,1998,MITSUBISHI,3.5,4,Silver,Jeep,Petrol,Tiptronic,False,9408
90200,Pathfinder,830.02,2010,NISSAN,4.0,12,Black,Jeep,LPG,Tiptronic,True,31500
184000,Delica,1057.6153846153845,2005,MITSUBISHI,3.0,12,White,Minivan,Petrol,Automatic,True,20385
149486,E 350,1053.0,2014,MERCEDES-BENZ,3.5,12,Silver,Sedan,Diesel,Automatic,True,314
0,Golf,752.195205479452,1996,VOLKSWAGEN,2.0,0,Green,Sedan,CNG,Manual,False,2300
170000,Vaneo,1281.3365810451728,2004,MERCEDES-BENZ,1.9,4,Silver,Universal,LPG,Tiptronic,False,7840
113214,Jetta,639.0,2014,VOLKSWAGEN,2.0,12,Grey,Universal,Diesel,Automatic,True,1490
149486,E 350,1053.0,2014,MERCEDES-BENZ,3.5,12,Silver,Sedan,Diesel,Automatic,True,314
260000,Cr-v,803.8573975044563,2002,HONDA,2.4,6,Silver,Jeep,Petrol,Automatic,False,13172
222222,Patrol Y60,830.02,1990,NISSAN,2.8,0,Black,Jeep,Diesel,Manual,False,19757
301707,A7,917.0,2013,AUDI,3.0,0,Grey,Hatchback,Petrol,Automatic,True,4704
175827,Sonata,751.0,2013,HYUNDAI,2.4,12,Black,Sedan,Petrol,Automatic,True,706
107800,E 350,1055.0,2013,MERCEDES-BENZ,3.5,12,Grey,Sedan,Diesel,Automatic,True,5802
115200,Camry,777.0,2014,TOYOTA,2.5,8,Silver,Sedan,Petrol,Automatic,False,25716
132036,Orlando,642.0,2012,CHEVROLET,2.0,4,White,Jeep,LPG,Automatic,True,14426
91000,RAV 4,850.5492087996912,2001,TOYOTA,2.0,4,Silver,Jeep,Petrol,Automatic,False,10820
129177,Explorer,1172.0,2011,FORD,3.5,4,White,Jeep,Petrol,Automatic,True,45436
201000,I30,893.0,2008,HYUNDAI,1.6,8,Black,Hatchback,Diesel,Manual,False,11917
185811,Santa FE,765.0,2015,HYUNDAI,2.0,4,Black,Jeep,Diesel,Automatic,True,41281
358400,Altima,830.02,1998,NISSAN,2.4,2,Brown,Sedan,Petrol,Manual,False,4391
98000,Grand Vitara,760.6086956521739,2008,SUZUKI,1.6,12,Black,Jeep,Petrol,Automatic,False,15681
122302,CT 200h,645.0,2011,LEXUS,1.8,0,Black,Hatchback,Hybrid,Automatic,True,6586
140000,Prius,850.5492087996912,2007,TOYOTA,1.5,6,Beige,Hatchback,Hybrid,Automatic,False,12544
120000,Tucson,639.0,2014,HYUNDAI,2.0,4,White,Jeep,Diesel,Automatic,True,30063
17200,Veloster,799.6990400903444,2015,HYUNDAI,1.6,10,Red,Hatchback,Petrol,Tiptronic,False,21639
120000,RAV 4 XLE Sport,850.5492087996912,2013,TOYOTA,2.5,0,White,Jeep,Petrol,Tiptronic,False,36692
0,FIT,803.8573975044563,2002,HONDA,1.5,4,Silver,Hatchback,Petrol,Automatic,False,30
66000,Aqua,1266.0,2014,TOYOTA,1.5,4,Silver,Hatchback,Hybrid,Variator,False,12231
300000,Sienta,850.5492087996912,2004,TOYOTA,1.5,4,Beige,Sedan,Petrol,Variator,False,3136
230000,Prius,850.5492087996912,2009,TOYOTA,1.8,6,Grey,Sedan,Hybrid,Variator,True,10663
110467,FIT,447.0,2013,HONDA,1.3,4,White,Hatchback,Petrol,Automatic,True,5620
64000,FIT,1111.0,2012,HONDA,1.3,4,Black,Hatchback,Hybrid,Variator,False,9408
80000,Elantra,799.6990400903444,2011,HYUNDAI,1.8,6,Grey,Sedan,Petrol,Tiptronic,True,3
179200,Passat,640.0,2013,VOLKSWAGEN,2.0,16,White,Sedan,Diesel,Tiptronic,True,15367
179918,H1,777.0,2014,HYUNDAI,2.5,4,Silver,Minivan,Diesel,Automatic,True,26594
92200,Avalon LIMITED,779.0,2013,TOYOTA,2.5,12,Beige,Sedan,Hybrid,Tiptronic,True,36065
29000,Cerato K3,730.0,2016,KIA,1.6,8,Silver,Sedan,Diesel,Tiptronic,True,26343
216550,CX-7,862.0,2011,MAZDA,2.5,12,Black,Sedan,Petrol,Automatic,True,549
240000,Grand Cherokee,1067.8297872340424,1993,JEEP,4.0,5,Green,Jeep,Petrol,Automatic,False,6000
50000,Elantra,585.0,2013,HYUNDAI,1.8,10,Grey,Sedan,Petrol,Tiptronic,False,14000
127842,Cruze,473.0,2014,CHEVROLET,1.4,4,White,Sedan,Petrol,Automatic,True,17923
180000,Astra G,1156.6493506493507,2003,OPEL,1.6,6,Silver,Hatchback,Petrol,Manual,False,10349
115000,Ist,850.5492087996912,2002,TOYOTA,1.3,7,Silver,Hatchback,Petrol,Automatic,False,8154
220474,Escape,289.0,2008,FORD,0.4,0,Grey,Jeep,Hybrid,Automatic,True,282
132310,Passat,640.0,2013,VOLKSWAGEN,2.0,12,Grey,Sedan,Diesel,Automatic,True,7527
60762,Camry,1249.0,2017,TOYOTA,2.5,12,White,Sedan,Petrol,Automatic,True,3450
142264,Tucson,836.0,2010,HYUNDAI,2.0,4,White,Jeep,Diesel,Automatic,True,22063
146403,Civic,503.0,2012,HONDA,1.5,0,White,Sedan,Hybrid,Automatic,True,2901
227371,Corolla,585.0,2013,TOYOTA,1.8,12,Silver,Sedan,Petrol,Automatic,True,4704
175000,Passat,752.195205479452,2002,VOLKSWAGEN,2.8,6,Grey,Sedan,Petrol,Manual,True,5331
203440,Jetta,642.0,2012,VOLKSWAGEN,2.0,12,Black,Sedan,Diesel,Automatic,True,941
70000,FIT,502.0,2013,HONDA,1.5,4,Blue,Hatchback,Petrol,Automatic,True,16900
122000,Rogue,830.02,2010,NISSAN,2.5,4,Silver,Jeep,Petrol,Automatic,True,18189
127000,MPV,1055.7884615384614,2000,MAZDA,2.5,4,Green,Minivan,Petrol,Automatic,False,5331
44995,GLA 250,1017.0,2017,MERCEDES-BENZ,2.0,0,Black,Jeep,Petrol,Automatic,True,42651
122324,Prius,586.0,2012,TOYOTA,1.8,7,Red,Hatchback,Hybrid,Automatic,False,15524
111111,530,1082.2991631799164,2007,BMW,3.0,10,Grey,Sedan,Petrol,Tiptronic,True,17249
186048,Fusion,333.0,2014,FORD,2.0,0,Black,Sedan,Hybrid,Automatic,True,862
98000,Elantra,831.0,2017,HYUNDAI,1.6,4,White,Sedan,Diesel,Automatic,True,28909
130000,Aqua,850.5492087996912,2013,TOYOTA,1.5,0,Sky blue,Sedan,Hybrid,Automatic,False,50
169024,Sonata,639.0,2014,HYUNDAI,2.0,4,White,Sedan,LPG,Automatic,True,14426
126000,Sharan,1325.0,2011,VOLKSWAGEN,1.4,6,Silver,Minivan,Petrol,Automatic,False,9000
200179,E 350,1053.0,2014,MERCEDES-BENZ,3.5,12,Black,Sedan,Diesel,Automatic,True,30734
156666,Camry,779.0,2013,TOYOTA,2.5,12,Black,Sedan,Petrol,Automatic,True,22580
133195,Volt,259.0,2014,CHEVROLET,1.4,0,Black,Jeep,Hybrid,Automatic,True,862
114950,FIT,247.0,2014,HONDA,1.3,4,Blue,Hatchback,Hybrid,Automatic,True,7464
154850,Fusion,1091.0,2016,FORD,2.5,12,Black,Sedan,Petrol,Automatic,True,1333
1600,E 300,1017.0,2017,MERCEDES-BENZ,2.0,12,Black,Sedan,Petrol,Automatic,True,392
200000,Tiida,830.02,2006,NISSAN,1.8,2,Silver,Sedan,CNG,Variator,True,7683
85500,Fusion,825.4240766073872,2013,FORD,1.6,8,Black,Sedan,Petrol,Automatic,True,22266
175614,E 350,1598.0,2008,MERCEDES-BENZ,3.0,12,Black,Sedan,Diesel,Automatic,True,2430
0,Fusion,333.0,2014,FORD,2.0,0,Silver,Sedan,Hybrid,Automatic,True,282
85944,Juke,629.0,2015,NISSAN,1.6,0,Black,Jeep,Petrol,Automatic,True,392
0,C 300,765.0,2015,MERCEDES-BENZ,2.0,12,Black,Sedan,Petrol,Automatic,True,33556
73000,Actyon,831.0,2017,SSANGYONG,1.6,4,White,Jeep,Diesel,Automatic,True,39161
180000,Transit,825.4240766073872,2008,FORD,2.2,2,White,Microbus,Diesel,Manual,False,16308
92000,Camry,850.5492087996912,2009,TOYOTA,2.4,8,Sky blue,Sedan,Hybrid,Tiptronic,True,17719
160138,GX 460,1514.0,2011,LEXUS,4.6,0,White,Jeep,Petrol,Automatic,True,43278
197923,Santa FE,1058.0,2012,HYUNDAI,3.5,12,Red,Jeep,Petrol,Automatic,True,470
42000,Cruze,738.0,2017,CHEVROLET,1.4,12,Black,Sedan,Petrol,Tiptronic,False,20385
230000,Elgrand,830.02,1998,NISSAN,3.2,4,White,Minivan,Diesel,Automatic,True,8781
159250,C 350,1055.0,2013,MERCEDES-BENZ,3.5,12,Black,Sedan,Petrol,Automatic,True,220
2000,CLS 500,1281.3365810451728,2006,MERCEDES-BENZ,5.0,12,Grey,Sedan,Petrol,Automatic,True,21326
117492,Genesis,707.0,2011,HYUNDAI,2.0,4,Grey,Coupe,Petrol,Automatic,True,15241
88795,Fusion,382.0,2015,FORD,2.0,0,Black,Sedan,Hybrid,Automatic,True,2587
56769,H1,1347.0,2008,HYUNDAI,2.5,4,Silver,Minivan,Diesel,Automatic,True,15524
70000,C 250,1281.3365810451728,2014,MERCEDES-BENZ,1.8,8,Beige,Sedan,Petrol,Tiptronic,True,27911
136861,Camry,779.0,2013,TOYOTA,2.5,12,Blue,Sedan,Hybrid,Automatic,True,4861
263000,S 350,1281.3365810451728,2005,MERCEDES-BENZ,3.5,0,Black,Sedan,Petrol,Automatic,True,29793
95665,Elantra,531.0,2012,HYUNDAI,1.6,4,Grey,Sedan,Petrol,Automatic,True,18208
107387,Sonata,481.0,2017,HYUNDAI,2.0,12,Silver,Sedan,Hybrid,Automatic,True,549
0,Tiida,830.02,2006,NISSAN,1.5,4,Red,Hatchback,Petrol,Automatic,False,30
65350,RAV 4 Le,779.0,2013,TOYOTA,2.5,12,White,Jeep,Petrol,Tiptronic,False,34497
130000,Zafira,1522.0,2000,OPEL,1.8,0,Silver,Goods wagon,Petrol,Manual,False,6272
183923,Captiva,1282.0,2007,CHEVROLET,2.0,4,Silver,Jeep,Diesel,Automatic,True,4924
11111,Vectra b,1156.6493506493507,2000,OPEL,2.0,2,Red,Hatchback,Diesel,Manual,False,4704
97129,H1,1091.0,2016,HYUNDAI,2.5,4,Silver,Universal,Diesel,Automatic,True,43576
140000,C 200,1281.3365810451728,2001,MERCEDES-BENZ,2.0,4,Black,Sedan,CNG,Manual,True,7840
24000,CHR,1079.0,2018,TOYOTA,2.0,8,Grey,Jeep,Petrol,Automatic,False,28225
0,Astra,1156.6493506493507,1992,OPEL,1.1,2,White,Sedan,Petrol,Manual,False,700
300000,323,1055.7884615384614,1998,MAZDA,1.5,2,Silver,Hatchback,Petrol,Manual,False,2352
29094,Cruze,738.0,2017,CHEVROLET,1.4,0,Grey,Hatchback,Petrol,Automatic,True,18817
148709,Fusion,382.0,2015,FORD,2.0,12,Red,Sedan,Hybrid,Automatic,True,4861
186005,RX 450,1399.0,2010,LEXUS,3.5,12,Silver,Jeep,Hybrid,Automatic,True,13172
156800,E 350 ამგ,1055.0,2013,MERCEDES-BENZ,3.5,12,Black,Sedan,Petrol,Tiptronic,True,37320
251430,Escape,1017.0,2017,FORD,2.0,12,Blue,Jeep,Petrol,Automatic,True,706
